iter	Passed	Remaining
398	2188	3296
399	2190	3286
400	2193	3276
401	2195	3265
402	2200	3259
403	2202	3249
404	2204	3239
405	2206	3228
406	2208	3218
407	2210	3207
408	2214	3199
409	2216	3188
410	2218	3178
411	2220	3168
412	2222	3158
413	2224	3148
414	2225	3137
415	2229	3130
416	2231	3120
417	2233	3109
418	2235	3099
419	2237	3089
420	2239	3079
421	2243	3073
422	2246	3063
423	2248	3053
424	2249	3043
425	2251	3033
426	2253	3023
427	2254	3013
428	2257	3004
429	2260	2996
430	2261	2985
431	2263	2975
432	2264	2965
433	2266	2955
434	2268	2945
435	2269	2936
436	2271	2927
437	2274	2918
438	2276	2908
439	2277	2898
440	2279	2889
441	2280	2879
442	2282	2869
443	2284	2860
444	2287	2852
445	2289	2843
446	2291	2834
447	2292	2824
448	2294	2815
449	2295	2805
450	2297	2796
451	2298	2787
452	2302	2780
453	2304	2771
454	2306	2762
455	2308	2753
456	2310	2745
457	2311	2736
458	2313	2726
459	2317	2720
460	2319	2711
461	2321	2702
462	2322	2693
463	2324	2684
464	2325	2675
465	2327	2667
466	2329	2658
467	2332	2651
468	2334	2643
469	2336	2634
470	2337	2625
471	2339	2616
472	2341	2608
473	2342	2599
474	2344	2590
475	2347	2584
476	2349	2576
477	2351	2567
478	2352	2559
479	2354	2550
480	2355	2542
481	2357	2533
482	2359	2525
483	2362	2519
484	2364	2510
485	2366	2502
486	2367	2493
487	2369	2485
488	2370	2477
489	2372	2469
490	2373	2460
491	2377	2455
492	2379	2446
493	2381	2439
494	2382	2431
495	2384	2422
496	2386	2414
497	2387	2406
498	2389	2398
499	2392	2392
500	2394	2385
501	2396	2377
502	2398	2369
503	2400	2362
504	2402	2354
505	2403	2346
506	2407	2341
507	2409	2333
508	2410	2325
509	2412	2317
510	2413	2310
511	2415	2302
512	2417	2294
513	2418	2287
514	2422	2281
515	2424	2273
516	2425	2266
517	2427	2258
518	2428	2251
519	2430	2243
520	2432	2236
521	2433	2228
522	2437	2223
523	2439	2216
524	2441	2208
525	2443	2201
526	2444	2194
527	2446	2187
528	2448	2180
529	2453	2176
530	2456	2169
531	2458	2162
532	2460	2156
533	2462	2149
534	2466	2144
535	2469	2138
536	2472	2131
537	2474	2124
538	2476	2118
539	2478	2111
540	2483	2106
541	2485	2100
542	2488	2094
543	2490	2087
544	2492	2081
545	2495	2074
546	2497	2068
547	2499	2061
548	2501	2054
549	2502	2047
550	2504	2040
551	2506	2033
552	2507	2027
553	2511	2021
554	2513	2015
555	2514	2008
556	2516	2001
557	2518	1994
558	2519	1987
559	2521	1980
560	2523	1974
561	2527	1969
562	2528	1962
563	2530	1955
564	2531	1949
565	2533	1942
566	2534	1935
567	2536	1929
568	2538	1922
569	2541	1917
570	2543	1910
571	2544	1904
572	2546	1897
573	2548	1891
574	2550	1884
575	2551	1878
576	2553	1871
577	2557	1867
578	2558	1860
579	2560	1854
580	2562	1847
581	2564	1841
582	2565	1835
583	2567	1828
584	2570	1823
585	2573	1817
586	2574	1811
587	2576	1805
588	2579	1799
589	2580	1793
590	2582	1787
591	2585	1781
592	2587	1775
593	2589	1769
594	2590	1763
595	2592	1757
596	2593	1750
597	2595	1744
598	2597	1738
599	2599	1733
600	2601	1727
601	2603	1721
602	2605	1715
603	2606	1708
604	2608	1702
605	2609	1696
606	2611	1690
607	2614	1685
608	2616	1679
609	2618	1673
610	2619	1667
611	2621	1662
612	2623	1656
613	2625	1650
614	2626	1644
615	2631	1640
616	2633	1634
617	2634	1628
618	2636	1622
619	2638	1617
620	2640	1611
621	2643	1606
622	2645	1600
623	2647	1595
624	2649	1589
625	2651	1584
626	2653	1578
627	2655	1572
628	2659	1568
629	2661	1563
630	2663	1557
631	2666	1552
632	2668	1547
633	2670	1541
634	2674	1537
635	2676	1531
636	2678	1526
637	2681	1521
638	2683	1515
639	2685	1510
640	2688	1505
641	2690	1500
642	2692	1494
643	2693	1489
644	2695	1483
645	2697	1478
646	2701	1473
647	2702	1468
648	2704	1462
649	2705	1457
650	2707	1451
651	2709	1445
652	2710	1440
653	2712	1434
654	2715	1430
655	2717	1425
656	2719	1419
657	2720	1414
658	2722	1408
659	2724	1403
660	2725	1398
661	2727	1392
662	2731	1388
663	2733	1383
664	2734	1377
665	2736	1372
666	2738	1366
667	2739	1361
668	2741	1356
669	2742	1350
670	2746	1346
671	2748	1341
672	2750	1336
673	2752	1331
674	2754	1326
675	2755	1320
676	2757	1315
677	2761	1311
678	2762	1306
679	2764	1300
680	2765	1295
681	2767	1290
682	2769	1285
683	2770	1280
684	2772	1274
685	2776	1270
686	2777	1265
687	2779	1260
688	2781	1255
689	2782	1250
690	2784	1245
691	2786	1240
692	2788	1235
693	2791	1230
694	2793	1225
695	2794	1220
696	2796	1215
697	2798	1210
698	2799	1205
699	2801	1200
700	2804	1196
701	2806	1191
702	2808	1186
703	2809	1181
704	2811	1176
705	2812	1171
706	2814	1166
707	2816	1161
708	2819	1157
709	2821	1152
710	2823	1147
711	2825	1142
712	2826	1137
713	2828	1133
714	2830	1128
715	2831	1123
716	2834	1118
717	2836	1113
718	2838	1109
719	2840	1104
720	2841	1099
721	2843	1094
722	2845	1090
723	2848	1085
724	2850	1081
725	2852	1076
726	2853	1071
727	2855	1066
728	2856	1062
729	2858	1057
730	2861	1053
731	2863	1048
732	2865	1043
733	2866	1038
734	2868	1034
735	2870	1029
736	2871	1024
737	2873	1020
738	2877	1016
739	2879	1011
740	2880	1006
741	2882	1002
742	2883	997
743	2885	992
744	2887	988
745	2889	983
746	2893	979
747	2894	975
748	2896	970
749	2897	965
750	2899	961
751	2901	956
752	2903	952
753	2905	947
754	2908	943
755	2909	939
756	2911	934
757	2912	929
758	2914	925
759	2916	920
760	2918	916
761	2921	912
762	2923	908
763	2925	903
764	2927	899
765	2929	894
766	2931	890
767	2933	886
768	2935	881
769	2938	877
770	2939	873
771	2941	868
772	2942	864
773	2944	859
774	2946	855
775	2947	850
776	2951	847
777	2953	842
778	2955	838
779	2956	833
780	2958	829
781	2959	825
782	2961	820
783	2963	816
784	2966	812
785	2968	808
786	2970	803
787	2971	799
788	2973	795
789	2975	790
790	2976	786
791	2978	782
792	2982	778
793	2983	774
794	2985	769
795	2986	765
796	2988	761
797	2990	756
798	2991	752
799	2993	748
800	2997	744
801	2998	740
802	3000	736
803	3002	731
804	3004	727
805	3005	723
806	3007	719
807	3009	715
808	3012	711
809	3014	706
810	3015	702
811	3017	698
812	3019	694
813	3021	690
814	3022	686
815	3026	682
816	3028	678
817	3029	674
818	3031	669
819	3033	665
820	3034	661
821	3036	657
822	3037	653
823	3040	649
824	3042	645
825	3044	641
826	3045	637
827	3047	633
828	3048	628
829	3050	624
830	3053	620
831	3055	617
832	3057	612
833	3058	608
834	3060	604
835	3062	600
836	3063	596
837	3065	592
838	3068	588
839	3070	584
840	3072	580
841	3073	576
842	3075	572
843	3076	568
844	3078	564
845	3080	560
846	3084	557
847	3085	553
848	3087	549
849	3089	545
850	3090	541
851	3092	537
852	3094	533
853	3095	529
854	3100	525
855	3103	522
856	3105	518
857	3108	514
858	3110	510
859	3115	507
860	3117	503
861	3118	499
862	3120	495
863	3122	491
864	3124	487
